Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2019-02-15,10.78,0.83,7.93,234.48,1.33,0.07,"Santa Cruz, CA"
2019-03-15,10.6,0.83,2.48,9.5,0.0,0.06,"Santa Cruz, CA"
2019-04-15,10.8,0.75,3.68,303.87,0.0,0.05,"Santa Cruz, CA"
2019-05-15,13.2,0.83,2.55,288.51,0.0,0.04,"Santa Cruz, CA"
2019-06-15,12.93,0.92,3.72,297.51,0.01,0.04,"Santa Cruz, CA"
2019-07-15,14.09,0.9,3.63,306.18,0.0,0.04,"Santa Cruz, CA"
2019-08-15,16.08,0.84,2.39,318.71,0.0,0.04,"Santa Cruz, CA"
2019-10-15,13.15,0.88,2.79,300.43,0.0,0.03,"Santa Cruz, CA"
2019-11-15,13.05,0.95,1.34,311.47,0.0,0.04,"Santa Cruz, CA"
2019-12-15,10.54,0.75,6.92,313.24,0.02,0.06,"Santa Cruz, CA"
