AcresBurned,Counties,Started,Started_Date,Started_Hour
108.0,"Fresno, CA",2013-06-13T11:54:00Z,2013-06-13,11
105.0,"Monterey, CA",2013-06-29T14:09:00Z,2013-06-29,14
100.0,"Los Angeles, CA",2013-08-09T17:15:00Z,2013-08-09,17
100.0,"Tuolumne, CA",2013-06-02T13:30:00Z,2013-06-02,13
100.0,"San Diego, CA",2013-05-22T16:14:00Z,2013-05-22,16
98.0,"Mendocino, CA",2013-09-28T13:57:00Z,2013-09-28,13
97.0,"Modoc, CA",2013-09-05T15:57:00Z,2013-09-05,15
97.0,"San Bernardino, CA",2013-08-24T15:09:00Z,2013-08-24,15
97.0,"Lassen, CA",2013-08-09T15:51:00Z,2013-08-09,15
96.0,"Amador, CA",2013-06-12T16:43:00Z,2013-06-12,16
94.0,"San Luis Obispo, CA",2013-09-24T03:20:00Z,2013-09-24,03
92.0,"Butte, CA",2013-08-01T16:01:00Z,2013-08-01,16
91.0,"Madera, CA",2013-05-19T15:07:00Z,2013-05-19,15
90.0,"Riverside, CA",2013-05-21T14:16:00Z,2013-05-21,14
85.0,"San Luis Obispo, CA",2013-07-07T13:16:00Z,2013-07-07,13
82.0,"Mendocino, CA",2013-11-22T10:06:00Z,2013-11-22,10
80.0,"Butte, CA",2013-08-31T17:23:00Z,2013-08-31,17
80.0,"Fresno, CA",2013-04-09T12:35:00Z,2013-04-09,12
75.0,"Tehama, CA",2013-09-15T17:39:00Z,2013-09-15,17
75.0,"San Bernardino, CA",2013-07-25T15:09:00Z,2013-07-25,15
75.0,"Madera, CA",2013-06-12T16:40:00Z,2013-06-12,16
75.0,"San Bernardino, CA",2013-05-13T13:30:00Z,2013-05-13,13
75.0,"Napa, CA",2013-04-30T23:44:00Z,2013-04-30,23
73.0,"San Bernardino, CA",2013-09-11T16:57:00Z,2013-09-11,16
73.0,"Yuba, CA",2013-07-08T09:59:00Z,2013-07-08,09
72.0,"Butte, CA",2013-05-01T04:16:00Z,2013-05-01,04
70.0,"Lake, CA",2013-08-16T17:57:00Z,2013-08-16,17
68.0,"Modoc, CA",2013-09-07T17:30:00Z,2013-09-07,17
64.0,"Ventura, CA",2013-11-14T11:05:00Z,2013-11-14,11
60.0,"Riverside, CA",2013-08-06T13:39:00Z,2013-08-06,13
60.0,"Riverside, CA",2013-08-04T16:29:00Z,2013-08-04,16
51.0,"San Luis Obispo, CA",2013-11-08T10:30:00Z,2013-11-08,10
50.0,"Lake, CA",2013-11-23T12:04:00Z,2013-11-23,12
50.0,"Siskiyou, CA",2013-08-15T14:40:00Z,2013-08-15,14
50.0,"Santa Clara, CA",2013-07-12T13:09:00Z,2013-07-12,13
50.0,"Alameda, CA",2013-07-04T10:00:00Z,2013-07-04,10
