AcresBurned,Counties,Started,Started_Date,Started_Hour
75.0,"Shasta, CA",2015-07-29T16:30:00Z,2015-07-29,16
75.0,"El Dorado, CA",2015-07-23T14:00:00Z,2015-07-23,14
75.0,"Butte, CA",2015-07-01T13:05:00Z,2015-07-01,13
72.0,"Butte, CA",2015-09-02T13:18:00Z,2015-09-02,13
69.0,"Siskiyou, CA",2015-08-20T16:00:00Z,2015-08-20,16
67.0,"Kern, CA",2015-06-15T15:46:00Z,2015-06-15,15
65.0,"San Bernardino, CA",2015-08-01T13:04:00Z,2015-08-01,13
60.0,"Fresno, CA",2015-07-18T16:31:00Z,2015-07-18,16
60.0,"Lassen, CA",2015-06-19T16:15:00Z,2015-06-19,16
60.0,"Riverside, CA",2015-06-18T14:16:00Z,2015-06-18,14
60.0,"Mariposa, CA",2015-06-18T12:03:00Z,2015-06-18,12
60.0,"Amador, CA",2015-06-16T16:42:00Z,2015-06-16,16
59.0,"Shasta, CA",2015-08-03T14:28:00Z,2015-08-03,14
58.0,"Siskiyou, CA",2015-10-10T12:00:00Z,2015-10-10,12
55.0,"San Bernardino, CA",2015-08-23T12:25:00Z,2015-08-23,12
55.0,"San Diego, CA",2015-08-09T08:22:00Z,2015-08-09,08
55.0,"Tehama, CA",2015-06-17T12:50:00Z,2015-06-17,12
54.0,"San Bernardino, CA",2015-07-12T14:46:00Z,2015-07-12,14
53.0,"Alameda, CA",2015-06-25T16:10:00Z,2015-06-25,16
52.0,"Santa Barbara, CA",2015-08-01T14:32:00Z,2015-08-01,14
50.0,"Ventura, CA",2015-11-07T01:45:00Z,2015-11-07,01
50.0,"Mendocino, CA",2015-07-30T13:36:00Z,2015-07-30,13
45.0,"Kern, CA",2015-09-09T11:45:00Z,2015-09-09,11
45.0,"Alameda, CA",2015-07-02T04:40:00Z,2015-07-02,04
45.0,"Fresno, CA",2015-06-05T17:00:00Z,2015-06-05,17
43.0,"Modoc, CA",2015-07-09T15:00:00Z,2015-07-09,15
42.0,"Santa Clara, CA",2015-06-30T15:23:00Z,2015-06-30,15
40.0,"Lassen, CA",2015-09-09T14:12:00Z,2015-09-09,14
40.0,"Stanislaus, CA",2015-07-28T12:10:00Z,2015-07-28,12
40.0,"Solano, CA",2015-07-10T13:36:00Z,2015-07-10,13
38.0,"Napa, CA",2015-06-16T14:27:00Z,2015-06-16,14
36.0,"Napa, CA",2015-06-09T15:23:00Z,2015-06-09,15
35.0,"Trinity, CA",2015-09-08T15:56:00Z,2015-09-08,15
35.0,"El Dorado, CA",2015-07-03T09:28:00Z,2015-07-03,09
35.0,"Mendocino, CA",2015-06-28T13:30:00Z,2015-06-28,13
30.0,"Lassen, CA",2015-08-29T16:06:00Z,2015-08-29,16
30.0,"Yuba, CA",2015-08-03T18:07:00Z,2015-08-03,18
29.0,"Ventura, CA",2015-11-11T17:40:00Z,2015-11-11,17
26.0,"Placer, CA",2015-07-22T18:17:00Z,2015-07-22,18
25.0,"San Diego, CA",2015-07-24T12:43:00Z,2015-07-24,12
25.0,"San Benito, CA",2015-07-20T13:23:00Z,2015-07-20,13
25.0,"San Diego, CA",2015-07-16T11:30:00Z,2015-07-16,11
25.0,"El Dorado, CA",2015-07-02T17:10:00Z,2015-07-02,17
25.0,"Mariposa, CA",2015-06-07T12:06:00Z,2015-06-07,12
25.0,"Lake, CA",2015-06-05T19:57:00Z,2015-06-05,19
25.0,"Riverside, CA",2015-06-05T13:32:00Z,2015-06-05,13
24.0,"Siskiyou, CA",2015-07-21T17:00:00Z,2015-07-21,17
23.0,"Mendocino, CA",2015-07-04T15:30:00Z,2015-07-04,15
22.0,"Lake, CA",2015-08-24T12:12:00Z,2015-08-24,12
21.0,"Santa Barbara, CA",2015-10-29T05:30:00Z,2015-10-29,05
21.0,"Riverside, CA",2015-07-12T13:52:00Z,2015-07-12,13
20.0,"Humboldt, CA",2015-06-10T07:42:00Z,2015-06-10,07
19.0,"Napa, CA",2015-06-27T12:51:00Z,2015-06-27,12
18.0,"Shasta, CA",2015-07-07T12:34:00Z,2015-07-07,12
16.0,"Humboldt, CA",2015-07-28T17:19:00Z,2015-07-28,17
0.0,"Trinity, CA",2015-07-30T16:00:00Z,2015-07-30,16
132127.0,"Monterey, CA",2016-07-22T08:48:00Z,2016-07-22,08
48019.0,"Kern, CA",2016-06-23T15:51:00Z,2016-06-23,15
46344.0,"San Luis Obispo, CA",2016-08-13T16:03:00Z,2016-08-13,16
36274.0,"San Bernardino, CA",2016-08-16T10:44:00Z,2016-08-16,10
33867.0,"Siskiyou, CA",2016-08-27T18:00:00Z,2016-08-27,18
32606.0,"Santa Barbara, CA",2016-08-18T17:57:00Z,2016-08-18,17
29322.0,"Kern, CA",2016-08-16T16:35:00Z,2016-08-16,16
12518.0,"Santa Barbara, CA",2016-09-17T17:20:00Z,2016-09-17,17
8110.0,"San Bernardino, CA",2016-08-07T12:18:00Z,2016-08-07,12
7609.0,"San Diego, CA",2016-06-19T11:03:00Z,2016-06-19,11
7474.0,"Santa Barbara, CA",2016-06-15T15:21:00Z,2016-06-15,15
7050.0,"Fresno, CA",2016-08-09T13:08:00Z,2016-08-09,13
5731.0,"Yolo, CA",2016-08-02T16:36:00Z,2016-08-02,16
5646.0,"El Dorado, CA",2016-06-28T13:55:00Z,2016-06-28,13
5646.0,"Placer, CA",2016-06-28T13:55:00Z,2016-06-28,13
5443.0,"Inyo, CA",2016-09-17T13:49:00Z,2016-09-17,13
5399.0,"Los Angeles, CA",2016-06-20T13:59:00Z,2016-06-20,13
4824.0,"Los Angeles, CA",2016-11-14T05:45:00Z,2016-11-14,05
4474.0,"Santa Clara, CA",2016-09-26T14:42:00Z,2016-09-26,14
4347.0,"Tulare, CA",2016-10-29T11:15:00Z,2016-10-29,11
3929.0,"Lake, CA",2016-08-13T18:03:00Z,2016-08-13,18
3876.0,"Monterey, CA",2016-05-22T15:27:00Z,2016-05-22,15
3712.0,"San Luis Obispo, CA",2016-05-18T14:27:00Z,2016-05-18,14
2944.0,"Fresno, CA",2016-07-01T17:16:00Z,2016-07-01,17
2860.0,"Siskiyou, CA",2016-06-07T02:45:00Z,2016-06-07,02
2819.0,"Mono, CA",2016-08-04T14:09:00Z,2016-08-04,14
2652.0,"Modoc, CA",2016-09-17T14:37:00Z,2016-09-17,14
2575.0,"Lassen, CA",2016-09-11T11:33:00Z,2016-09-11,11
2520.0,"Monterey, CA",2016-06-04T14:33:00Z,2016-06-04,14
2304.0,"Ventura, CA",2016-06-30T16:55:00Z,2016-06-30,16
2241.0,"Fresno, CA",2016-07-30T16:40:00Z,2016-07-30,16
2100.0,"Fresno, CA",2016-10-11T12:58:00Z,2016-10-11,12
1785.0,"Kern, CA",2016-07-01T14:05:00Z,2016-07-01,14
1547.0,"Sonoma, CA",2016-09-25T10:43:00Z,2016-09-25,10
1470.0,"Riverside, CA",2016-08-30T12:25:00Z,2016-08-30,12
1246.0,"Merced, CA",2016-06-25T23:45:00Z,2016-06-25,23
1245.0,"San Diego, CA",2016-07-21T16:06:00Z,2016-07-21,16
1109.0,"Los Angeles, CA",2016-07-09T12:04:00Z,2016-07-09,12
1080.0,"Tuolumne, CA",2016-09-26T12:20:00Z,2016-09-26,12
850.0,"Butte, CA",2016-09-05T16:28:00Z,2016-09-05,16
710.0,"Siskiyou, CA",2016-08-24T14:55:00Z,2016-08-24,14
650.0,"Mono, CA",2016-06-25T06:30:00Z,2016-06-25,06
599.0,"Humboldt, CA",2016-08-22T16:03:00Z,2016-08-22,16
554.0,"Kern, CA",2016-07-08T11:15:00Z,2016-07-08,11
550.0,"Butte, CA",2016-08-02T14:35:00Z,2016-08-02,14
518.0,"Kern, CA",2016-08-26T10:10:00Z,2016-08-26,10
464.0,"Tehama, CA",2016-06-30T13:32:00Z,2016-06-30,13
450.0,"Calaveras, CA",2016-08-28T13:07:00Z,2016-08-28,13
441.0,"Shasta, CA",2016-07-08T22:45:00Z,2016-07-08,22
400.0,"Yuba, CA",2016-08-18T15:35:00Z,2016-08-18,15
395.0,"Tulare, CA",2016-08-22T22:00:00Z,2016-08-22,22
380.0,"Modoc, CA",2016-09-11T14:15:00Z,2016-09-11,14
372.0,"Amador, CA",2016-06-28T19:02:00Z,2016-06-28,19
360.0,"Tehama, CA",2016-09-13T23:10:00Z,2016-09-13,23
341.0,"Calaveras, CA",2016-07-12T13:14:00Z,2016-07-12,13
310.0,"Calaveras, CA",2016-07-02T14:55:00Z,2016-07-02,14
306.0,"Kern, CA",2016-09-19T14:13:00Z,2016-09-19,14
304.0,"Kern, CA",2016-08-28T18:50:00Z,2016-08-28,18
278.0,"Fresno, CA",2016-05-25T01:03:00Z,2016-05-25,01
277.0,"Yolo, CA",2016-06-26T15:45:00Z,2016-06-26,15
248.0,"Plumas, CA",2016-09-26T13:23:00Z,2016-09-26,13
237.0,"San Benito, CA",2016-06-17T14:30:00Z,2016-06-17,14
221.0,"Kern, CA",2016-07-13T17:08:00Z,2016-07-13,17
215.0,"Santa Barbara, CA",2016-09-22T14:20:00Z,2016-09-22,14
215.0,"Lake, CA",2016-06-26T16:00:00Z,2016-06-26,16
211.0,"Alameda, CA",2016-06-25T16:11:00Z,2016-06-25,16
210.0,"Amador, CA",2016-06-17T14:54:00Z,2016-06-17,14
188.0,"Fresno, CA",2016-07-11T14:30:00Z,2016-07-11,14
176.0,"El Dorado, CA",2016-10-14T01:28:00Z,2016-10-14,01
173.0,"Riverside, CA",2016-07-12T15:20:00Z,2016-07-12,15
169.0,"Placer, CA",2016-05-17T15:06:00Z,2016-05-17,15
158.0,"Fresno, CA",2016-09-03T14:44:00Z,2016-09-03,14
156.0,"Los Angeles, CA",2016-05-23T14:15:00Z,2016-05-23,14
151.0,"Fresno, CA",2016-04-28T17:45:00Z,2016-04-28,17
150.0,"Del Norte, CA",2016-09-13T13:55:00Z,2016-09-13,13
150.0,"Orange, CA",2016-08-31T04:10:00Z,2016-08-31,04
150.0,"San Luis Obispo, CA",2016-05-10T16:11:00Z,2016-05-10,16
147.0,"San Joaquin, CA",2016-08-20T08:35:00Z,2016-08-20,08
145.0,"Fresno, CA",2016-07-04T17:15:00Z,2016-07-04,17
140.0,"Stanislaus, CA",2016-08-04T15:45:00Z,2016-08-04,15
139.0,"Riverside, CA",2016-06-04T11:40:00Z,2016-06-04,11
138.0,"Kern, CA",2016-07-15T23:55:00Z,2016-07-15,23
132.0,"Fresno, CA",2016-05-15T16:38:00Z,2016-05-15,16
130.0,"Butte, CA",2016-09-22T11:45:00Z,2016-09-22,11
123.0,"Fresno, CA",2016-07-15T16:45:00Z,2016-07-15,16
122.0,"Mono, CA",2016-08-05T15:45:00Z,2016-08-05,15
120.0,"Stanislaus, CA",2016-06-07T16:30:00Z,2016-06-07,16
114.0,"Santa Clara, CA",2016-07-30T17:25:00Z,2016-07-30,17
112.0,"Butte, CA",2016-06-20T16:38:00Z,2016-06-20,16
103.0,"Madera, CA",2016-07-04T11:53:00Z,2016-07-04,11
100.0,"Shasta, CA",2016-09-25T07:15:00Z,2016-09-25,07
100.0,"Santa Clara, CA",2016-08-17T15:19:00Z,2016-08-17,15
100.0,"Kern, CA",2016-08-04T17:10:00Z,2016-08-04,17
100.0,"Stanislaus, CA",2016-08-03T16:08:00Z,2016-08-03,16
100.0,"Monterey, CA",2016-07-22T15:15:00Z,2016-07-22,15
100.0,"San Diego, CA",2016-07-18T13:08:00Z,2016-07-18,13
95.0,"San Benito, CA",2016-07-09T12:43:00Z,2016-07-09,12
91.0,"Butte, CA",2016-05-27T13:43:00Z,2016-05-27,13
88.0,"Butte, CA",2016-08-26T15:30:00Z,2016-08-26,15
88.0,"Tehama, CA",2016-07-01T13:54:00Z,2016-07-01,13
88.0,"Placer, CA",2016-06-21T12:24:00Z,2016-06-21,12
87.0,"Sacramento, CA",2016-07-10T15:30:00Z,2016-07-10,15
86.0,"San Luis Obispo, CA",2016-06-27T12:07:00Z,2016-06-27,12
85.0,"Madera, CA",2016-08-04T14:13:00Z,2016-08-04,14
85.0,"Tuolumne, CA",2016-05-30T15:10:00Z,2016-05-30,15
84.0,"Yolo, CA",2016-07-15T14:00:00Z,2016-07-15,14
83.0,"Calaveras, CA",2016-06-15T12:46:00Z,2016-06-15,12
83.0,"San Benito, CA",2016-06-12T12:45:00Z,2016-06-12,12
80.0,"Tehama, CA",2016-08-03T17:27:00Z,2016-08-03,17
80.0,"Madera, CA",2016-07-21T12:53:00Z,2016-07-21,12
80.0,"Tehama, CA",2016-06-11T14:30:00Z,2016-06-11,14
78.0,"Ventura, CA",2016-07-13T15:52:00Z,2016-07-13,15
75.0,"Shasta, CA",2016-09-10T15:45:00Z,2016-09-10,15
70.0,"Fresno, CA",2016-09-23T12:40:00Z,2016-09-23,12
70.0,"Monterey, CA",2016-06-18T16:47:00Z,2016-06-18,16
70.0,"San Diego, CA",2016-05-31T13:48:00Z,2016-05-31,13
69.0,"Lake, CA",2016-07-19T17:16:00Z,2016-07-19,17
65.0,"Napa, CA",2016-10-10T16:13:00Z,2016-10-10,16
61.0,"Kern, CA",2016-06-11T15:04:00Z,2016-06-11,15
57.0,"Solano, CA",2016-07-22T13:01:00Z,2016-07-22,13
57.0,"Calaveras, CA",2016-07-21T15:06:00Z,2016-07-21,15
56.0,"Siskiyou, CA",2016-05-19T15:37:00Z,2016-05-19,15
52.0,"Monterey, CA",2016-06-23T17:57:00Z,2016-06-23,17
50.0,"Mendocino, CA",2016-09-10T14:06:00Z,2016-09-10,14
50.0,"San Bernardino, CA",2016-09-07T16:53:00Z,2016-09-07,16
50.0,"El Dorado, CA",2016-07-22T13:15:00Z,2016-07-22,13
50.0,"Ventura, CA",2016-04-28T19:00:00Z,2016-04-28,19
49.0,"Butte, CA",2016-06-21T15:09:00Z,2016-06-21,15
47.0,"Orange, CA",2016-06-26T13:10:00Z,2016-06-26,13
45.0,"Amador, CA",2016-09-23T13:12:00Z,2016-09-23,13
45.0,"Lake, CA",2016-08-09T17:30:00Z,2016-08-09,17
45.0,"Ventura, CA",2016-07-01T14:00:00Z,2016-07-01,14
43.0,"Tehama, CA",2016-06-21T10:26:00Z,2016-06-21,10
43.0,"Kern, CA",2016-05-30T17:57:00Z,2016-05-30,17
42.0,"Lassen, CA",2016-07-30T16:25:00Z,2016-07-30,16
40.0,"Sacramento, CA",2016-09-11T11:25:00Z,2016-09-11,11
40.0,"Riverside, CA",2016-08-28T15:23:00Z,2016-08-28,15
40.0,"Contra Costa, CA",2016-07-24T16:30:00Z,2016-07-24,16
38.0,"Madera, CA",2016-07-29T17:55:00Z,2016-07-29,17
36.0,"Mendocino, CA",2016-08-30T13:35:00Z,2016-08-30,13
36.0,"Lake, CA",2016-08-09T18:50:00Z,2016-08-09,18
35.0,"San Diego, CA",2016-08-10T09:14:00Z,2016-08-10,09
35.0,"Shasta, CA",2016-08-09T12:14:00Z,2016-08-09,12
35.0,"Butte, CA",2016-07-28T14:27:00Z,2016-07-28,14
35.0,"Calaveras, CA",2016-07-12T15:19:00Z,2016-07-12,15
33.0,"Calaveras, CA",2016-06-27T18:00:00Z,2016-06-27,18
32.0,"Siskiyou, CA",2016-09-12T16:28:00Z,2016-09-12,16
32.0,"Tuolumne, CA",2016-07-30T17:25:00Z,2016-07-30,17
32.0,"Sacramento, CA",2016-06-03T16:57:00Z,2016-06-03,16
30.0,"Butte, CA",2016-09-16T23:28:00Z,2016-09-16,23
30.0,"Inyo, CA",2016-07-01T12:56:00Z,2016-07-01,12
30.0,"San Benito, CA",2016-06-03T17:39:00Z,2016-06-03,17
30.0,"Butte, CA",2016-05-29T16:51:00Z,2016-05-29,16
30.0,"Merced, CA",2016-04-24T11:10:00Z,2016-04-24,11
28.0,"San Diego, CA",2016-11-13T11:14:00Z,2016-11-13,11
28.0,"San Diego, CA",2016-07-22T14:47:00Z,2016-07-22,14
26.0,"Amador, CA",2016-08-05T13:49:00Z,2016-08-05,13
26.0,"Siskiyou, CA",2016-07-19T14:09:00Z,2016-07-19,14
25.0,"Santa Clara, CA",2016-09-01T14:36:00Z,2016-09-01,14
25.0,"Santa Clara, CA",2016-08-12T16:00:00Z,2016-08-12,16
25.0,"El Dorado, CA",2016-08-06T15:00:00Z,2016-08-06,15
25.0,"Lake, CA",2016-07-29T14:55:00Z,2016-07-29,14
25.0,"El Dorado, CA",2016-06-03T12:41:00Z,2016-06-03,12
25.0,"Monterey, CA",2016-05-12T14:13:00Z,2016-05-12,14
24.0,"Shasta, CA",2016-06-11T16:02:00Z,2016-06-11,16
23.0,"Humboldt, CA",2016-08-11T14:57:00Z,2016-08-11,14
23.0,"Siskiyou, CA",2016-07-21T20:30:00Z,2016-07-21,20
21.0,"Humboldt, CA",2016-08-12T17:23:00Z,2016-08-12,17
20.0,"San Bernardino, CA",2016-09-03T21:51:00Z,2016-09-03,21
20.0,"Lake, CA",2016-08-30T16:54:00Z,2016-08-30,16
20.0,"Ventura, CA",2016-05-12T14:13:00Z,2016-05-12,14
19.0,"Amador, CA",2016-08-30T16:52:00Z,2016-08-30,16
15.0,"Ventura, CA",2016-07-11T12:58:00Z,2016-07-11,12
11.0,"Tehama, CA",2016-07-25T16:55:00Z,2016-07-25,16
11.0,"Shasta, CA",2016-05-25T16:51:00Z,2016-05-25,16
10.0,"Tulare, CA",2016-10-20T17:00:00Z,2016-10-20,17
0.0,"Los Angeles, CA",2016-07-22T14:11:00Z,2016-07-22,14
0.0,"San Luis Obispo, CA",2016-06-04T17:46:00Z,2016-06-04,17
0.0,"Los Angeles, CA",2016-06-04T16:09:00Z,2016-06-04,16
0.0,"Tulare, CA",2016-06-01T15:35:00Z,2016-06-01,15
0.0,"Los Angeles, CA",2016-04-19T13:09:00Z,2016-04-19,13
281893.0,"Santa Barbara, CA",2017-12-04T18:28:00Z,2017-12-04,18
281893.0,"Ventura, CA",2017-12-04T18:28:00Z,2017-12-04,18
83733.0,"Lassen, CA",2017-07-11T14:15:00Z,2017-07-11,14
83120.0,"Modoc, CA",2017-07-24T12:00:00Z,2017-07-24,12
81826.0,"Mariposa, CA",2017-07-16T15:56:00Z,2017-07-16,15
78698.0,"Siskiyou, CA",2017-08-15T07:55:00Z,2017-08-15,07
56556.0,"Napa, CA",2017-10-08T22:00:00Z,2017-10-08,22
56556.0,"Sonoma, CA",2017-10-08T22:00:00Z,2017-10-08,22
51624.0,"Napa, CA",2017-10-08T21:52:00Z,2017-10-08,21
51624.0,"Solano, CA",2017-10-08T21:52:00Z,2017-10-08,21
48889.0,"Kings, CA",2017-07-09T15:10:00Z,2017-07-09,15
39715.0,"Siskiyou, CA",2017-08-14T14:00:00Z,2017-08-14,14
36807.0,"Napa, CA",2017-10-08T21:45:00Z,2017-10-08,21
36807.0,"Sonoma, CA",2017-10-08T21:45:00Z,2017-10-08,21
36556.0,"Tulare, CA",2017-08-29T08:29:00Z,2017-08-29,08
36523.0,"Mendocino, CA",2017-10-08T23:36:00Z,2017-10-08,23
28687.0,"San Luis Obispo, CA",2017-07-06T15:44:00Z,2017-07-06,15
27276.0,"Siskiyou, CA",2017-07-26T18:00:00Z,2017-07-26,18
21846.0,"Trinity, CA",2017-08-30T18:00:00Z,2017-08-30,18
18900.0,"Tulare, CA",2017-09-27T14:00:00Z,2017-09-27,14
18618.0,"Lassen, CA",2017-08-30T08:30:00Z,2017-08-30,08
18430.0,"Santa Barbara, CA",2017-07-08T13:43:00Z,2017-07-08,13
17357.0,"Sonoma, CA",2017-10-09T03:30:00Z,2017-10-09,03
16031.0,"Tulare, CA",2017-06-24T16:16:00Z,2017-06-24,16
15619.0,"Los Angeles, CA",2017-12-05T03:44:00Z,2017-12-05,03
13417.0,"Trinity, CA",2017-09-12T17:42:00Z,2017-09-12,17
12407.0,"Madera, CA",2017-08-29T12:19:00Z,2017-08-29,12
10343.0,"Fresno, CA",2017-05-18T13:11:00Z,2017-05-18,13
9989.0,"Yuba, CA",2017-10-08T23:03:00Z,2017-10-08,23
9217.0,"Orange, CA",2017-10-09T09:51:00Z,2017-10-09,09
8925.0,"Mono, CA",2017-08-29T15:15:00Z,2017-08-29,15
8417.0,"Butte, CA",2017-10-08T21:45:00Z,2017-10-08,21
8094.0,"Mariposa, CA",2017-08-01T08:45:00Z,2017-08-01,08
7697.0,"Modoc, CA",2017-08-03T14:00:00Z,2017-08-03,14
7194.0,"Los Angeles, CA",2017-09-01T13:26:00Z,2017-09-01,13
7000.0,"Mariposa, CA",2017-08-14T14:28:00Z,2017-08-14,14
6309.0,"Riverside, CA",2017-06-26T15:10:00Z,2017-06-26,15
6151.0,"Butte, CA",2017-10-09T00:57:00Z,2017-10-09,00
6049.0,"Los Angeles, CA",2017-12-05T11:31:00Z,2017-12-05,11
6042.0,"Lassen, CA",2017-08-29T14:36:00Z,2017-08-29,14
6033.0,"Butte, CA",2017-07-07T14:52:00Z,2017-07-07,14
5738.0,"Fresno, CA",2017-04-20T15:40:00Z,2017-04-20,15
5247.0,"Stanislaus, CA",2017-07-31T13:44:00Z,2017-07-31,13
4736.0,"Trinity, CA",2017-08-07T22:30:00Z,2017-08-07,22
4310.0,"Plumas, CA",2017-07-29T18:55:00Z,2017-07-29,18
4100.0,"San Diego, CA",2017-12-07T11:15:00Z,2017-12-07,11
4016.0,"Butte, CA",2017-08-29T13:16:00Z,2017-08-29,13
3874.0,"Riverside, CA",2017-09-02T13:33:00Z,2017-09-02,13
3142.0,"Siskiyou, CA",2017-08-07T17:45:00Z,2017-08-07,17
2940.0,"Kern, CA",2017-07-07T09:18:00Z,2017-07-07,09
2662.0,"Orange, CA",2017-09-25T13:03:00Z,2017-09-25,13
2575.0,"Plumas, CA",2017-09-05T18:38:00Z,2017-09-05,18
2312.0,"Kings, CA",2017-08-24T18:13:00Z,2017-08-24,18
2295.0,"Tulare, CA",2017-08-02T18:00:00Z,2017-08-02,18
2289.0,"Tulare, CA",2017-07-30T17:43:00Z,2017-07-30,17
2269.0,"Yolo, CA",2017-07-06T12:41:00Z,2017-07-06,12
2207.0,"Lake, CA",2017-10-08T23:59:00Z,2017-10-08,23
2056.0,"San Diego, CA",2017-05-20T23:19:00Z,2017-05-20,23
1868.0,"Sonoma, CA",2017-10-09T01:00:00Z,2017-10-09,01
1816.0,"Monterey, CA",2017-07-08T18:30:00Z,2017-07-08,18
1816.0,"San Luis Obispo, CA",2017-07-08T18:30:00Z,2017-07-08,18
1800.0,"Merced, CA",2017-05-12T15:30:00Z,2017-05-12,15
1749.0,"Stanislaus, CA",2017-09-03T16:23:00Z,2017-09-03,16
1660.0,"Sonoma, CA",2017-10-09T14:00:00Z,2017-10-09,14
1649.0,"Fresno, CA",2017-07-17T13:15:00Z,2017-07-17,13
1626.0,"Kern, CA",2017-07-06T12:29:00Z,2017-07-06,12
1598.0,"San Luis Obispo, CA",2017-06-26T15:27:00Z,2017-06-26,15
1538.0,"Fresno, CA",2017-07-02T22:28:00Z,2017-07-02,22
1522.0,"Kern, CA",2017-06-18T14:22:00Z,2017-06-18,14
1503.0,"San Bernardino, CA",2017-06-19T15:05:00Z,2017-06-19,15
1431.0,"Madera, CA",2017-06-10T13:19:00Z,2017-06-10,13
1350.0,"Kern, CA",2017-07-30T16:17:00Z,2017-07-30,16
1350.0,"Riverside, CA",2017-04-30T15:23:00Z,2017-04-30,15
1319.0,"Kern, CA",2017-09-01T14:37:00Z,2017-09-01,14
1286.0,"Sacramento, CA",2017-07-26T14:45:00Z,2017-07-26,14
1200.0,"Kern, CA",2017-06-30T13:49:00Z,2017-06-30,13
1088.0,"San Diego, CA",2017-10-17T10:19:00Z,2017-10-17,10
1083.0,"Kern, CA",2017-07-18T11:45:00Z,2017-07-18,11
1044.0,"Riverside, CA",2017-08-13T16:10:00Z,2017-08-13,16
1035.0,"Madera, CA",2017-09-03T13:06:00Z,2017-09-03,13
1020.0,"Plumas, CA",2017-08-06T15:32:00Z,2017-08-06,15
1000.0,"San Diego, CA",2017-05-25T18:15:00Z,2017-05-25,18
995.0,"Shasta, CA",2017-09-12T06:58:00Z,2017-09-12,06
976.0,"Fresno, CA",2017-04-28T15:40:00Z,2017-04-28,15
900.0,"Mendocino, CA",2017-07-16T14:51:00Z,2017-07-16,14
867.0,"Yuba, CA",2017-08-20T14:44:00Z,2017-08-20,14
866.0,"Riverside, CA",2017-10-26T12:34:00Z,2017-10-26,12
859.0,"Lassen, CA",2017-08-06T19:52:00Z,2017-08-06,19
800.0,"Los Angeles, CA",2017-06-17T13:55:00Z,2017-06-17,13
775.0,"San Luis Obispo, CA",2017-08-11T16:06:00Z,2017-08-11,16
760.0,"Los Angeles, CA",2017-06-25T12:47:00Z,2017-06-25,12
690.0,"Tuolumne, CA",2017-07-29T13:50:00Z,2017-07-29,13
680.0,"Mariposa, CA",2017-09-03T13:10:00Z,2017-09-03,13
670.0,"San Bernardino, CA",2017-06-27T15:22:00Z,2017-06-27,15
630.0,"Mariposa, CA",2017-06-28T15:49:00Z,2017-06-28,15
562.0,"Modoc, CA",2017-06-28T13:50:00Z,2017-06-28,13
545.0,"Riverside, CA",2017-08-14T15:45:00Z,2017-08-14,15
530.0,"Lassen, CA",2017-08-06T15:29:00Z,2017-08-06,15
506.0,"Kern, CA",2017-05-20T14:23:00Z,2017-05-20,14
486.0,"San Diego, CA",2017-05-19T14:45:00Z,2017-05-19,14
469.0,"Siskiyou, CA",2017-07-05T11:05:00Z,2017-07-05,11
460.0,"San Luis Obispo, CA",2017-08-02T10:15:00Z,2017-08-02,10
460.0,"San Bernardino, CA",2017-07-14T14:23:00Z,2017-07-14,14
450.0,"Fresno, CA",2017-06-11T17:15:00Z,2017-06-11,17
444.0,"Santa Barbara, CA",2017-09-29T14:42:00Z,2017-09-29,14
429.0,"Madera, CA",2017-09-18T16:04:00Z,2017-09-18,16
426.0,"El Dorado, CA",2017-10-13T13:16:00Z,2017-10-13,13
422.0,"Los Angeles, CA",2017-12-06T06:31:00Z,2017-12-06,06
416.0,"Tulare, CA",2017-07-20T19:16:00Z,2017-07-20,19
410.0,"Modoc, CA",2017-07-13T15:23:00Z,2017-07-13,15
400.0,"San Diego, CA",2017-07-11T13:45:00Z,2017-07-11,13
400.0,"Fresno, CA",2017-05-10T15:27:00Z,2017-05-10,15
391.0,"Santa Cruz, CA",2017-10-16T22:30:00Z,2017-10-16,22
380.0,"Modoc, CA",2017-04-03T16:00:00Z,2017-04-03,16
370.0,"Mono, CA",2017-11-13T11:28:00Z,2017-11-13,11
370.0,"Contra Costa, CA",2017-07-08T15:26:00Z,2017-07-08,15
357.0,"Fresno, CA",2017-06-23T16:00:00Z,2017-06-23,16
340.0,"San Luis Obispo, CA",2017-07-09T13:49:00Z,2017-07-09,13
339.0,"Tulare, CA",2017-06-07T11:55:00Z,2017-06-07,11
338.0,"Kern, CA",2017-08-10T14:32:00Z,2017-08-10,14
325.0,"San Bernardino, CA",2017-08-03T15:35:00Z,2017-08-03,15
319.0,"Del Norte, CA",2017-07-19T14:00:00Z,2017-07-19,14
300.0,"Riverside, CA",2017-12-07T13:14:00Z,2017-12-07,13
288.0,"Kern, CA",2017-05-15T14:05:00Z,2017-05-15,14
260.0,"San Bernardino, CA",2017-12-05T13:35:00Z,2017-12-05,13
255.0,"San Diego, CA",2017-07-22T15:00:00Z,2017-07-22,15
245.0,"San Luis Obispo, CA",2017-09-20T13:41:00Z,2017-09-20,13
237.0,"Fresno, CA",2017-09-19T19:47:00Z,2017-09-19,19
236.0,"El Dorado, CA",2017-07-30T01:45:00Z,2017-07-30,01
231.0,"Contra Costa, CA",2017-07-08T02:20:00Z,2017-07-08,02
225.0,"Mariposa, CA",2017-07-02T13:36:00Z,2017-07-02,13
225.0,"San Luis Obispo, CA",2017-05-18T08:48:00Z,2017-05-18,08
