temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties_Idx,Started_Date
12.18,0.68,1.13,213.06,0.0,0.09,50,2015-01-15
12.63,0.95,0.58,169.62,0.0,0.11,38,2015-08-03
11.88,0.58,1.72,61.95,0.0,0.04,1,2015-11-15
-0.58,0.76,3.68,224.72,0.0,0.3,21,2017-10-15
19.06,0.67,2.1,245.81,0.23,0.07,31,2015-09-15
4.76,0.77,3.32,161.82,0.0,0.25,6,2015-11-15
14.03,0.82,4.75,320.47,0.0,0.13,37,2017-06-15
21.85,0.54,1.92,195.45,0.0,0.08,33,2014-09-15
20.96,0.75,5.66,100.03,0.08,0.14,19,2018-10-15
1.51,0.78,2.24,355.13,0.13,0.31,32,2017-04-15
-0.36,0.82,1.53,137.53,0.0,0.4,38,2017-02-15
5.46,0.96,5.9,25.27,1.41,0.44,45,2018-12-15
4.93,0.81,1.86,61.8,0.0,0.31,20,2014-12-15
9.53,0.76,1.32,319.28,0.0,0.32,15,2019-03-15
17.46,0.75,3.69,193.48,0.0,0.06,10,2013-05-22
8.39,0.84,6.0,168.41,0.5,0.43,8,2019-02-15
11.85,0.61,2.01,29.76,0.0,0.27,12,2013-02-15
26.94,0.04,3.08,59.75,0.0,0.04,1,2019-10-10
21.46,0.43,1.38,8.52,0.0,0.13,41,2019-10-07
19.48,0.6,3.19,319.54,0.0,0.13,41,2015-08-15
25.43,0.66,1.1,300.45,0.0,0.27,21,2017-07-29
21.58,0.42,2.79,91.01,0.0,0.18,14,2014-08-15
19.65,0.46,1.79,276.15,0.0,0.13,34,2013-05-15
30.32,0.34,1.21,171.4,0.0,0.16,14,2017-09-12
-1.57,0.51,0.7,118.87,0.0,0.34,6,2014-01-15
16.81,0.89,2.02,312.94,0.0,0.04,10,2016-10-15
15.07,0.98,0.43,266.61,0.04,0.35,27,2016-03-15
13.29,0.89,2.4,331.47,0.0,0.08,10,2018-05-04
-12.26,0.88,2.83,304.31,0.0,0.35,7,2019-03-15
8.92,0.76,1.83,321.53,0.0,0.34,12,2017-04-15
22.41,0.92,2.95,268.97,0.01,0.04,10,2015-10-15
24.81,0.17,2.12,238.46,0.0,0.01,31,2016-07-15
17.12,0.17,2.94,7.81,0.0,0.12,12,2017-10-09
17.6,0.15,5.81,347.83,0.0,0.13,44,2018-10-15
18.11,0.88,1.0,76.79,2.24,0.46,4,2017-05-15
9.82,0.86,1.01,91.79,0.0,0.31,3,2018-05-15
28.27,0.15,1.8,251.25,0.0,0.12,15,2013-07-15
11.16,0.76,1.94,103.89,0.0,0.16,14,2019-11-15
12.46,0.6,1.63,132.41,0.0,0.1,46,2019-10-15
24.64,0.34,1.03,72.12,0.0,0.06,17,2015-08-15
17.42,0.71,1.92,224.4,0.0,0.12,37,2018-07-21
6.9,0.53,2.98,109.12,0.0,0.09,10,2013-01-15
27.83,0.57,6.33,320.87,0.0,0.02,50,2017-07-12
10.09,0.48,1.46,347.84,0.0,0.14,6,2014-06-15
1.89,0.88,6.45,190.09,0.0,0.34,32,2017-12-15
8.78,0.85,3.83,337.83,0.0,0.32,37,2017-04-15
6.98,0.58,2.6,30.06,0.01,0.26,14,2018-02-15
14.86,0.44,1.68,186.67,0.0,0.0,31,2019-10-04
11.29,0.91,1.29,183.05,0.08,0.07,17,2013-04-15
7.46,0.83,5.3,166.53,1.5,0.46,39,2016-01-15
11.09,0.8,1.38,341.69,0.0,0.29,35,2019-12-15
14.93,0.49,1.12,87.39,0.0,0.15,39,2018-09-15
10.13,0.87,0.27,332.01,0.0,0.24,8,2014-11-15
11.53,0.83,4.33,233.39,0.0,0.08,30,2018-05-30
32.3,0.12,2.86,30.89,0.0,0.25,9,2015-07-29
21.29,0.41,2.8,315.13,0.0,0.13,24,2015-06-21
9.94,0.86,1.38,327.02,0.0,0.08,19,2015-01-15
25.92,0.86,2.44,213.81,0.03,0.17,42,2014-07-15
16.14,0.66,0.86,174.95,0.0,0.06,17,2013-06-16
19.81,0.56,1.34,174.3,0.0,0.07,1,2013-05-30
10.87,0.4,0.78,222.3,0.0,0.01,25,2018-03-15
13.2,0.9,3.02,246.49,0.0,0.24,21,2019-08-15
16.54,0.46,1.89,31.01,0.0,0.06,16,2017-09-29
7.23,0.54,0.36,284.46,0.0,0.16,15,2014-01-15
18.24,0.74,0.79,152.83,0.0,0.07,1,2018-06-12
7.83,0.67,1.5,330.54,0.0,0.25,8,2016-04-15
20.79,0.41,1.19,341.58,0.0,0.18,8,2016-06-21
7.45,0.96,4.05,152.82,0.45,0.3,2,2018-03-15
-5.23,0.79,0.86,229.67,0.0,0.19,31,2013-12-15
22.07,0.53,2.9,177.6,0.0,0.07,33,2019-09-15
10.65,0.85,1.79,74.44,0.0,0.33,40,2014-11-15
10.13,0.75,3.73,119.54,0.01,0.35,36,2019-01-15
13.03,0.77,0.24,58.69,0.0,0.36,12,2017-02-15
17.45,0.7,6.36,155.28,0.35,0.13,8,2014-10-15
21.69,0.15,1.99,207.44,0.0,0.02,31,2016-06-15
16.86,0.61,2.32,178.8,0.0,0.27,33,2018-04-15
20.52,0.74,1.48,125.32,0.03,0.04,35,2019-09-26
-3.97,0.69,0.87,61.8,0.0,0.38,48,2013-01-15
21.27,0.78,0.55,147.73,0.0,0.06,17,2018-07-19
14.65,0.44,0.32,9.09,0.0,0.05,22,2017-07-17
16.25,0.92,1.54,67.71,3.27,0.44,4,2014-04-15
12.05,0.45,1.2,69.76,0.0,0.19,48,2013-06-15
14.64,0.76,0.33,190.77,0.0,0.04,35,2019-11-15
15.99,0.76,1.51,107.05,0.0,0.21,40,2016-05-15
13.31,0.35,1.14,26.36,0.0,0.05,11,2014-02-15
28.88,0.3,3.69,203.75,0.0,0.13,46,2017-06-26
12.65,0.71,4.89,244.7,0.0,0.08,30,2013-05-15
18.65,0.28,2.1,96.15,0.0,0.15,40,2014-06-15
25.78,0.47,1.83,220.38,0.0,0.08,11,2016-08-28
12.79,0.88,1.73,242.94,0.0,0.08,13,2019-11-15
19.97,0.43,1.97,329.83,0.0,0.13,5,2018-06-02
26.32,0.36,2.49,312.06,0.0,0.13,24,2017-07-07
13.06,0.95,1.91,316.66,0.0,0.08,18,2016-11-15
14.26,0.51,1.43,320.18,0.0,0.11,5,2016-09-23
15.87,0.85,0.7,59.49,0.0,0.31,27,2013-04-15
21.44,0.92,1.08,134.21,0.2,0.35,28,2017-07-15
13.74,0.58,0.81,10.15,0.0,0.04,10,2014-02-15
21.42,0.25,1.48,62.03,0.0,0.07,43,2014-05-15
19.1,0.78,1.1,95.76,0.0,0.16,36,2016-10-15
12.6,0.74,0.04,70.23,0.0,0.06,35,2016-12-15
8.72,0.36,0.29,232.33,0.0,0.04,25,2015-11-15
11.17,0.5,2.72,322.53,0.0,0.23,14,2013-04-15
13.28,0.79,0.35,272.55,0.07,0.26,47,2016-12-15
17.86,0.77,4.42,198.95,0.0,0.07,30,2014-10-15
-17.56,0.83,3.9,49.82,0.0,0.26,7,2014-02-15
14.88,0.5,2.71,27.83,0.0,0.12,23,2019-09-21
26.65,0.76,5.75,85.37,0.05,0.13,42,2016-10-15
0.59,0.64,5.02,323.19,0.0,0.37,45,2014-04-15
9.7,0.89,4.07,283.26,0.05,0.04,49,2013-04-15
